;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.8035714285714286;0.7380952380952381;0.7402614432011363;0.5845667942506892;0.837037037037037;Noun;2;1
Bien;0.8050551254984754;0.7857142857142857;0.645563121172742;0.6046510838359593;0.8399122492065088;Noun;3;2
Bureau;0.5492063492063491;0.5048543689320388;0.26754571539523003;0.15068512891001715;0.5522632707098727;Noun;3;1
Faculté;0.8307378807378808;0.7875;0.8261874348323801;0.7267718156964887;0.8695861006322724;Noun;3;2
Filer;0.7727561751039373;0.7916666666666666;0.7631502351446774;0.7207536077601102;0.878844246031746;Verb;3;2
Glace;0.5560785165869911;0.6422764227642277;0.46257276792409735;0.35524420187160416;0.6366269187155953;Noun;5;-1
Souris;0.4700915969733175;0.5441176470588235;0.5467450019632625;0.3601739638876548;0.6241556431184914;Noun;3;3
Supporter;0.7015873015873016;0.6545454545454545;0.5181330698845402;0.38040615016720536;0.7045634207689543;Verb;3;2
Tirer;0.38513513513513514;0.5480769230769231;0.11830651983401422;-0.08332449986727151;0.5038222646918299;Verb;2;0
Tour;0.7458333333333333;0.6756756756756757;0.7188764157564035;0.5197285010242826;0.6831654345167859;Noun;5;2
Vol;0.7183333333333334;0.6352941176470588;0.6144199012738755;0.46018754499799025;0.7627935789700496;Noun;2;3
Average_nouns;0.6848634455301387;0.6641909694859185;0.6027714751898909;0.47025112930933577;0.7256925291133266;;;
Average_verbs;0.6198262039421247;0.6647630147630148;0.4665299416210773;0.339278419353348;0.69574331049751;;;
Global_average;0.6671260160061349;0.6643469818342175;0.5656146933074871;0.4345312993213391;0.7175245603999222;;;
