;F1;F1
Model;Camembert;Flaubert
Average_nouns;0.7256925291133266;0.7039746104587614
Average_verbs;0.69574331049751;0.6486707297197801
Avocat;0.837037037037037;0.6767219708396179
Bien;0.8399122492065088;0.8466765273008379
Bureau;0.5522632707098727;0.4929390997352162
Faculté;0.8695861006322724;0.762519970709626
Filer;0.878844246031746;0.6914605191099324
Glace;0.6366269187155953;0.4760324083303595
Global_average;0.7175245603999222;0.6888917338935848
Souris;0.6241556431184914;0.6588341132491148
Supporter;0.7045634207689543;0.5962821492233257
Tirer;0.5038222646918299;0.6582695208260819
Tour;0.6831654345167859;0.7742599742599745
Vol;0.7627935789700496;0.9438128192453452
