;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.6071428571428571;0.5357142857142857;0.49670000282036997;0.3467616893864885;0.6767219708396179;Noun;2;3
Bien;0.7726718273516303;0.7448979591836735;0.7159546698696955;0.6240676959802943;0.8466765273008379;Noun;3;3
Bureau;0.4696649029982363;0.5145631067961165;0.2715794944407464;0.15570890184296057;0.4929390997352162;Noun;3;1
Faculté;0.7383955383955384;0.6875;0.6681173653330227;0.5277040174212573;0.762519970709626;Noun;3;1
Filer;0.5851797505502568;0.59375;0.5373913978175374;0.4004500790561376;0.6914605191099324;Verb;3;2
Glace;0.4190192669853687;0.4634146341463415;0.3697689552971362;0.2227499661384796;0.4760324083303595;Noun;5;-1
Souris;0.5598566308243728;0.6029411764705882;0.32902053010813087;0.2788328002008041;0.6588341132491148;Noun;3;3
Supporter;0.5722222222222223;0.5454545454545454;0.4399719772702247;0.2562683376063234;0.5962821492233257;Verb;3;2
Tirer;0.5621621621621622;0.6730769230769231;0.024725662440202377;0.05889034229414202;0.6582695208260819;Verb;2;1
Tour;0.7922619047619047;0.7567567567567568;0.7263163333049256;0.5660429173765403;0.7742599742599745;Noun;5;1
Vol;0.9333333333333333;0.9058823529411765;0.7264176181964999;0.7451464220866894;0.9438128192453453;Noun;2;2
Average_nouns;0.6615432827241552;0.6514587840011175;0.5379843711713159;0.43337680130418926;0.7039746104587614;;;
Average_verbs;0.5731880449782137;0.6040938228438228;0.3340296791759882;0.23853625298553435;0.6486707297197801;;;
Global_average;0.6374463997025348;0.6385410673218553;0.48236036426349926;0.3802384699445561;0.6888917338935848;;;
