;Rand;Rand
Model;Camembert;Flaubert
Average_nouns;0.4702511293093357;0.4333768013041892
Average_verbs;0.339278419353348;0.2385362529855343
Avocat;0.5845667942506892;0.3467616893864885
Bien;0.6046510838359593;0.6240676959802943
Bureau;0.1506851289100171;0.1557089018429605
Faculté;0.7267718156964887;0.5277040174212573
Filer;0.7207536077601102;0.4004500790561376
Glace;0.3552442018716041;0.2227499661384796
Global_average;0.4345312993213391;0.3802384699445561
Souris;0.3601739638876548;0.2788328002008041
Supporter;0.3804061501672053;0.2562683376063234
Tirer;-0.0833244998672715;0.058890342294142
Tour;0.5197285010242826;0.5660429173765403
Vol;0.4601875449979902;0.7451464220866894
