;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation;Model
Avocat;0.8035714285714286;0.7380952380952381;0.7402614432011363;0.5845667942506892;0.837037037037037;Noun;2.0;1.0;Camembert
Bien;0.8050551254984754;0.7857142857142857;0.645563121172742;0.6046510838359593;0.8399122492065088;Noun;3.0;2.0;Camembert
Bureau;0.5492063492063491;0.5048543689320388;0.26754571539523;0.1506851289100171;0.5522632707098727;Noun;3.0;1.0;Camembert
Faculté;0.8307378807378808;0.7875;0.8261874348323801;0.7267718156964887;0.8695861006322724;Noun;3.0;2.0;Camembert
Filer;0.7727561751039373;0.7916666666666666;0.7631502351446774;0.7207536077601102;0.878844246031746;Verb;3.0;2.0;Camembert
Glace;0.5560785165869911;0.6422764227642277;0.4625727679240973;0.3552442018716041;0.6366269187155953;Noun;5.0;-1.0;Camembert
Souris;0.4700915969733175;0.5441176470588235;0.5467450019632625;0.3601739638876548;0.6241556431184914;Noun;3.0;3.0;Camembert
Supporter;0.7015873015873016;0.6545454545454545;0.5181330698845402;0.3804061501672053;0.7045634207689543;Verb;3.0;2.0;Camembert
Tirer;0.3851351351351351;0.5480769230769231;0.1183065198340142;-0.0833244998672715;0.5038222646918299;Verb;2.0;0.0;Camembert
Tour;0.7458333333333333;0.6756756756756757;0.7188764157564035;0.5197285010242826;0.6831654345167859;Noun;5.0;2.0;Camembert
Vol;0.7183333333333334;0.6352941176470588;0.6144199012738755;0.4601875449979902;0.7627935789700496;Noun;2.0;3.0;Camembert
Average_nouns;0.6848634455301387;0.6641909694859185;0.6027714751898909;0.4702511293093357;0.7256925291133266;;;;Camembert
Average_verbs;0.6198262039421247;0.6647630147630148;0.4665299416210773;0.339278419353348;0.69574331049751;;;;Camembert
Global_average;0.6671260160061349;0.6643469818342175;0.5656146933074871;0.4345312993213391;0.7175245603999222;;;;Camembert
Avocat;0.6071428571428571;0.5357142857142857;0.4967000028203699;0.3467616893864885;0.6767219708396179;Noun;2.0;3.0;Flaubert
Bien;0.7726718273516303;0.7448979591836735;0.7159546698696955;0.6240676959802943;0.8466765273008379;Noun;3.0;3.0;Flaubert
Bureau;0.4696649029982363;0.5145631067961165;0.2715794944407464;0.1557089018429605;0.4929390997352162;Noun;3.0;1.0;Flaubert
Faculté;0.7383955383955384;0.6875;0.6681173653330227;0.5277040174212573;0.762519970709626;Noun;3.0;1.0;Flaubert
Filer;0.5851797505502568;0.59375;0.5373913978175374;0.4004500790561376;0.6914605191099324;Verb;3.0;2.0;Flaubert
Glace;0.4190192669853687;0.4634146341463415;0.3697689552971362;0.2227499661384796;0.4760324083303595;Noun;5.0;-1.0;Flaubert
Souris;0.5598566308243728;0.6029411764705882;0.3290205301081308;0.2788328002008041;0.6588341132491148;Noun;3.0;3.0;Flaubert
Supporter;0.5722222222222223;0.5454545454545454;0.4399719772702247;0.2562683376063234;0.5962821492233257;Verb;3.0;2.0;Flaubert
Tirer;0.5621621621621622;0.6730769230769231;0.0247256624402023;0.058890342294142;0.6582695208260819;Verb;2.0;1.0;Flaubert
Tour;0.7922619047619047;0.7567567567567568;0.7263163333049256;0.5660429173765403;0.7742599742599745;Noun;5.0;1.0;Flaubert
Vol;0.9333333333333332;0.9058823529411764;0.7264176181964999;0.7451464220866894;0.9438128192453452;Noun;2.0;2.0;Flaubert
Average_nouns;0.6615432827241552;0.6514587840011175;0.5379843711713159;0.4333768013041892;0.7039746104587614;;;;Flaubert
Average_verbs;0.5731880449782137;0.6040938228438228;0.3340296791759882;0.2385362529855343;0.6486707297197801;;;;Flaubert
Global_average;0.6374463997025348;0.6385410673218553;0.4823603642634992;0.3802384699445561;0.6888917338935848;;;;Flaubert
