;V_measure;V_measure
Model;Camembert;Flaubert
Average_nouns;0.6027714751898909;0.5379843711713159
Average_verbs;0.4665299416210773;0.3340296791759882
Avocat;0.7402614432011363;0.4967000028203699
Bien;0.645563121172742;0.7159546698696955
Bureau;0.26754571539523;0.2715794944407464
Faculté;0.8261874348323801;0.6681173653330227
Filer;0.7631502351446774;0.5373913978175374
Glace;0.4625727679240973;0.3697689552971362
Global_average;0.5656146933074871;0.4823603642634992
Souris;0.5467450019632625;0.3290205301081308
Supporter;0.5181330698845402;0.4399719772702247
Tirer;0.1183065198340142;0.0247256624402023
Tour;0.7188764157564035;0.7263163333049256
Vol;0.6144199012738755;0.7264176181964999
