;Weighted;Weighted
Model;Camembert;Flaubert
Average_nouns;0.6848634455301387;0.6615432827241552
Average_verbs;0.6198262039421247;0.5731880449782137
Avocat;0.8035714285714286;0.6071428571428571
Bien;0.8050551254984754;0.7726718273516303
Bureau;0.5492063492063491;0.4696649029982363
Faculté;0.8307378807378808;0.7383955383955384
Filer;0.7727561751039373;0.5851797505502568
Glace;0.5560785165869911;0.4190192669853687
Global_average;0.6671260160061349;0.6374463997025348
Souris;0.4700915969733175;0.5598566308243728
Supporter;0.7015873015873016;0.5722222222222223
Tirer;0.3851351351351351;0.5621621621621622
Tour;0.7458333333333333;0.7922619047619047
Vol;0.7183333333333334;0.9333333333333332
