;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.8214285714285714;0.7619047619047619;0.7455367200925976;0.5994924402187511;0.855072463768116;Noun;2;1
Bien;0.8519821721792166;0.8061224489795918;0.7398866706018208;0.6517522572500116;0.8650429381926801;Noun;3;1
Bureau;0.5;0.6019417475728155;0.3745987353649308;0.2235777142153307;0.5432278524356131;Noun;3;-1
Faculté;0.4362934362934363;0.525;0.16465391636141974;0.06918542167151347;0.4832185227707616;Noun;3;-1
Filer;0.7710564930300808;0.78125;0.6249935253572159;0.6347543624729282;0.7788733970914822;Verb;3;0
Glace;0.7634839924670433;0.7560975609756098;0.5840046880508946;0.48984077076963756;0.7625527084336481;Noun;5;0
Souris;0.615810434090004;0.5294117647058824;0.486392925227047;0.2854017627131009;0.6185909146267202;Noun;3;4
Supporter;0.5103174603174603;0.4909090909090909;0.42571576218905344;0.2095239984526726;0.5995959595959596;Verb;3;6
Tirer;0.8445945945945945;0.7788461538461539;0.6810143167142076;0.5623301478622479;0.8643480453972258;Verb;2;1
Tour;0.6898809523809525;0.7567567567567568;0.6478393222321283;0.5130967715580195;0.7280716791120709;Noun;5;-1
Vol;0.7583333333333333;0.6588235294117647;0.7125004511727321;0.5225788888839303;0.775048480930834;Noun;2;1
Average_nouns;0.6796516115215696;0.6745073212883979;0.5569266786379463;0.4193657534100369;0.7038531950338056;;;
Average_verbs;0.7086561826473785;0.683668414918415;0.577241201420159;0.46886950292928287;0.7476058006948891;;;
Global_average;0.6875619491013357;0.6770058013693118;0.5624670030330953;0.4328667760061949;0.7157857238504648;;;
