;F1;F1
Model;Camembert;Flaubert
Average_nouns;0.7038531950338056;0.7623989627197997
Average_verbs;0.7476058006948891;0.6632169624936243
Avocat;0.855072463768116;0.9430778371954842
Bien;0.8650429381926801;0.9897579446451628
Bureau;0.5432278524356131;0.4895107557586141
Faculté;0.4832185227707616;0.738556338028169
Filer;0.7788733970914822;0.9283536585365854
Glace;0.7625527084336481;0.6291852828438194
Global_average;0.7157857238504648;0.7353493262944791
Souris;0.6185909146267202;0.6182677495101778
Supporter;0.5995959595959596;0.4621260297730886
Tirer;0.8643480453972258;0.5991711991711991
Tour;0.7280716791120709;0.7480694980694981
Vol;0.775048480930834;0.9427662957074724
