;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.8839285714285714;0.9047619047619048;0.7020502716093676;0.8036426589295034;0.9430778371954842;Noun;2;1
Bien;0.9885057471264368;0.9897959183673469;0.9541014187403705;0.9654410605877043;0.9897579446451628;Noun;3;0
Bureau;0.46913580246913583;0.5533980582524272;0.36063894529682966;0.20093239095349605;0.48951075575861414;Noun;3;-1
Faculté;0.6666666666666666;0.8125;0.7988668250065365;0.7336714213301259;0.738556338028169;Noun;3;-1
Filer;0.9148936170212766;0.875;0.8818594500715287;0.7909868993574418;0.9283536585365854;Verb;3;1
Glace;0.6362740837317109;0.6666666666666666;0.4643790540203866;0.4259438760334223;0.6291852828438194;Noun;5;-1
Souris;0.5422540820390284;0.47058823529411764;0.5396005727595151;0.3142351243619911;0.6182677495101778;Noun;3;6
Supporter;0.3452380952380952;0.32727272727272727;0.349227095723641;0.11670053327006984;0.4621260297730886;Verb;3;7
Tirer;0.6495495495495496;0.5576923076923077;0.1737910725675302;0.04877810872480883;0.5991711991711991;Verb;2;1
Tour;0.7880952380952382;0.7027027027027027;0.725616091556109;0.5294816754093394;0.7480694980694981;Noun;5;3
Vol;0.925;0.8941176470588236;0.8023925458634226;0.7467979473486587;0.9427662957074723;Noun;2;1
Average_nouns;0.7374825239445986;0.7493163916379987;0.6684557156065671;0.5900182693692801;0.7623989627197997;;;
Average_verbs;0.6365604206029738;0.5866550116550117;0.46829253945423327;0.31882184711744016;0.6632169624936243;;;
Global_average;0.7099583139423372;0.7049541970971841;0.6138657584741124;0.516055608755142;0.7353493262944791;;;
