,optimal_clusters,correct_clusters,score,correct_cluster_score,no_cluster_baseline,three_cluster_baseline,seven_cluster_baseline
Avocat,3.0,2.0,0.7020502716093676,0.7158920010774074,0.0,0.7020502716093676,0.4549075121905148
Bien,3.0,3.0,0.9541014187403705,0.9541014187403705,0.0,0.9541014187403705,0.6193532561843749
Bureau,2.0,3.0,0.3185719610891792,0.27203746491149194,0.0,0.27203746491149194,0.2846532004741612
Faculté,2.0,3.0,0.7988668250065365,0.6752659110733857,0.0,0.6752659110733857,0.7195925940286167
Filer,4.0,3.0,0.8818594500715287,0.8788495222931244,0.0,0.8788495222931244,0.7038029206215771
Glace,4.0,5.0,0.4643790540203865,0.5671114709758175,0.0,0.34766134646155905,0.5038918686197962
Souris,9.0,3.0,0.5032115129253564,0.4425301335934341,0.0,0.4425301335934341,0.5653970427251596
Supporter,10.0,3.0,0.36798138559774607,0.4276795776950087,0.0,0.4276795776950087,0.39267357546694237
Tirer,3.0,2.0,0.1665425464505238,0.12430999715752401,0.0,0.1665425464505238,0.32186242620610556
Tour,8.0,5.0,0.7290700908922257,0.6591649016645261,0.0,0.587961128712006,0.7373873043571656
Vol,3.0,2.0,0.8963335202563367,1.0,0.0,0.8963335202563367,0.5087587500347632
