;Overall;Overall
Model;Camembert;Flaubert
Average_nouns;0.6745073212883979;0.7493163916379987
Average_verbs;0.683668414918415;0.5866550116550117
Avocat;0.7619047619047619;0.9047619047619048
Bien;0.8061224489795918;0.9897959183673468
Bureau;0.6019417475728155;0.5533980582524272
Faculté;0.525;0.8125
Filer;0.78125;0.875
Glace;0.7560975609756098;0.6666666666666666
Global_average;0.6770058013693118;0.7049541970971841
Souris;0.5294117647058824;0.4705882352941176
Supporter;0.4909090909090909;0.3272727272727272
Tirer;0.7788461538461539;0.5576923076923077
Tour;0.7567567567567568;0.7027027027027027
Vol;0.6588235294117647;0.8941176470588236
