;Rand;Rand
Model;Camembert;Flaubert
Average_nouns;0.4193657534100369;0.5900182693692801
Average_verbs;0.4688695029292828;0.3188218471174401
Avocat;0.5994924402187511;0.8036426589295034
Bien;0.6517522572500116;0.9654410605877044
Bureau;0.2235777142153307;0.200932390953496
Faculté;0.0691854216715134;0.7336714213301259
Filer;0.6347543624729282;0.7909868993574418
Glace;0.4898407707696375;0.4259438760334223
Global_average;0.4328667760061949;0.516055608755142
Souris;0.2854017627131009;0.3142351243619911
Supporter;0.2095239984526726;0.1167005332700698
Tirer;0.5623301478622479;0.0487781087248088
Tour;0.5130967715580195;0.5294816754093394
Vol;0.5225788888839303;0.7467979473486587
