;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation;Model
Avocat;0.8214285714285714;0.7619047619047619;0.7455367200925976;0.5994924402187511;0.855072463768116;Noun;2.0;1.0;Camembert
Bien;0.8519821721792166;0.8061224489795918;0.7398866706018208;0.6517522572500116;0.8650429381926801;Noun;3.0;1.0;Camembert
Bureau;0.5;0.6019417475728155;0.3745987353649308;0.2235777142153307;0.5432278524356131;Noun;3.0;-1.0;Camembert
Faculté;0.4362934362934363;0.525;0.1646539163614197;0.0691854216715134;0.4832185227707616;Noun;3.0;-1.0;Camembert
Filer;0.7710564930300808;0.78125;0.6249935253572159;0.6347543624729282;0.7788733970914822;Verb;3.0;0.0;Camembert
Glace;0.7634839924670433;0.7560975609756098;0.5840046880508946;0.4898407707696375;0.7625527084336481;Noun;5.0;0.0;Camembert
Souris;0.615810434090004;0.5294117647058824;0.486392925227047;0.2854017627131009;0.6185909146267202;Noun;3.0;4.0;Camembert
Supporter;0.5103174603174603;0.4909090909090909;0.4257157621890534;0.2095239984526726;0.5995959595959596;Verb;3.0;6.0;Camembert
Tirer;0.8445945945945945;0.7788461538461539;0.6810143167142076;0.5623301478622479;0.8643480453972258;Verb;2.0;1.0;Camembert
Tour;0.6898809523809525;0.7567567567567568;0.6478393222321283;0.5130967715580195;0.7280716791120709;Noun;5.0;-1.0;Camembert
Vol;0.7583333333333333;0.6588235294117647;0.7125004511727321;0.5225788888839303;0.775048480930834;Noun;2.0;1.0;Camembert
Average_nouns;0.6796516115215696;0.6745073212883979;0.5569266786379463;0.4193657534100369;0.7038531950338056;;;;Camembert
Average_verbs;0.7086561826473785;0.683668414918415;0.577241201420159;0.4688695029292828;0.7476058006948891;;;;Camembert
Global_average;0.6875619491013357;0.6770058013693118;0.5624670030330953;0.4328667760061949;0.7157857238504648;;;;Camembert
Avocat;0.8839285714285714;0.9047619047619048;0.7020502716093676;0.8036426589295034;0.9430778371954842;Noun;2.0;1.0;Flaubert
Bien;0.9885057471264368;0.9897959183673468;0.9541014187403704;0.9654410605877044;0.9897579446451628;Noun;3.0;0.0;Flaubert
Bureau;0.4691358024691358;0.5533980582524272;0.3606389452968296;0.200932390953496;0.4895107557586141;Noun;3.0;-1.0;Flaubert
Faculté;0.6666666666666666;0.8125;0.7988668250065365;0.7336714213301259;0.738556338028169;Noun;3.0;-1.0;Flaubert
Filer;0.9148936170212766;0.875;0.8818594500715287;0.7909868993574418;0.9283536585365854;Verb;3.0;1.0;Flaubert
Glace;0.6362740837317109;0.6666666666666666;0.4643790540203866;0.4259438760334223;0.6291852828438194;Noun;5.0;-1.0;Flaubert
Souris;0.5422540820390284;0.4705882352941176;0.5396005727595151;0.3142351243619911;0.6182677495101778;Noun;3.0;6.0;Flaubert
Supporter;0.3452380952380952;0.3272727272727272;0.349227095723641;0.1167005332700698;0.4621260297730886;Verb;3.0;7.0;Flaubert
Tirer;0.6495495495495496;0.5576923076923077;0.1737910725675302;0.0487781087248088;0.5991711991711991;Verb;2.0;1.0;Flaubert
Tour;0.7880952380952382;0.7027027027027027;0.725616091556109;0.5294816754093394;0.7480694980694981;Noun;5.0;3.0;Flaubert
Vol;0.925;0.8941176470588236;0.8023925458634226;0.7467979473486587;0.9427662957074724;Noun;2.0;1.0;Flaubert
Average_nouns;0.7374825239445986;0.7493163916379987;0.6684557156065671;0.5900182693692801;0.7623989627197997;;;;Flaubert
Average_verbs;0.6365604206029738;0.5866550116550117;0.4682925394542332;0.3188218471174401;0.6632169624936243;;;;Flaubert
Global_average;0.7099583139423372;0.7049541970971841;0.6138657584741124;0.516055608755142;0.7353493262944791;;;;Flaubert
