;Weighted;Weighted
Model;Camembert;Flaubert
Average_nouns;0.6796516115215696;0.7374825239445986
Average_verbs;0.7086561826473785;0.6365604206029738
Avocat;0.8214285714285714;0.8839285714285714
Bien;0.8519821721792166;0.9885057471264368
Bureau;0.5;0.4691358024691358
Faculté;0.4362934362934363;0.6666666666666666
Filer;0.7710564930300808;0.9148936170212766
Glace;0.7634839924670433;0.6362740837317109
Global_average;0.6875619491013357;0.7099583139423372
Souris;0.615810434090004;0.5422540820390284
Supporter;0.5103174603174603;0.3452380952380952
Tirer;0.8445945945945945;0.6495495495495496
Tour;0.6898809523809525;0.7880952380952382
Vol;0.7583333333333333;0.925
