;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.8928571428571428;0.9166666666666666;0.5616250909474023;0.6859143426154966;0.9153951326223679;Noun;2;0
Bien;0.3333333333333333;0.5;0.0;0.0;0.3333333333333333;Noun;3;-2
Bureau;0.3333333333333333;0.5242718446601942;0.0;0.0;0.3606456001484138;Noun;3;-2
Faculté;0.42985842985842987;0.5;0.05953560776790759;0.03988840198405151;0.4386574074074074;Noun;3;-1
Filer;0.3448275862068966;0.5;0.022986977938628684;0.004855005904736911;0.3442292644757433;Verb;3;-1
Glace;0.3191786179921773;0.5284552845528455;0.19362410788929763;0.14633739337276563;0.44524871055162163;Noun;5;-2
Souris;0.3333333333333333;0.45588235294117646;0.0;0.0;0.2855020796197267;Noun;3;-2
Supporter;0.6666666666666666;0.7272727272727273;0.6748033842308446;0.47600036294347153;0.6197183098591549;Verb;3;-1
Tirer;0.513063063063063;0.7019230769230769;0.00363466985364582;0.018074910845497394;0.6170043829003367;Verb;2;0
Tour;0.2;0.32432432432432434;0.0;0.0;0.15885273028130173;Noun;5;-4
Vol;0.5;0.7058823529411765;0.0;0.0;0.5841784989858013;Noun;2;-1
Average_nouns;0.41773677383846874;0.5569353532607979;0.10184810082557594;0.10901751724653921;0.44022668661874675;;;
Average_verbs;0.5081857719788755;0.6430652680652681;0.23380834400770636;0.16631009323123527;0.5269839857450783;;;
Global_average;0.4424046824222161;0.5804253300256534;0.13783725805706606;0.12464276524236541;0.46388776819865535;;;
