;F1;F1
Model;Camembert;Flaubert
Average_nouns;0.4503881493076112;0.4318224037378011
Average_verbs;0.6021099641310469;0.6439375759656245
Avocat;0.5568421052631579;0.6572958500669344
Bien;0.4141215608768922;0.3772675736961451
Bureau;0.371938230395052;0.3492598268615262
Faculté;0.4837294727744166;0.4492280398925968
Filer;0.6102931717608315;0.690173190963219
Glace;0.4377000028493955;0.3777714012434242
Global_average;0.491766826077639;0.4896719961635712
Souris;0.6129536921151439;0.4768048128342246
Supporter;0.5925133689839572;0.613048128342246
Tirer;0.6035233516483517;0.6285914085914086
Tour;0.1745115902419273;0.1626888857506001
Vol;0.5513085399449036;0.6042628395569573
