;Rand;Rand
Model;Camembert;Flaubert
Average_nouns;0.0648416233298444;0.0189061321290004
Average_verbs;0.2698346980075566;0.2306557632141345
Avocat;0.0681673598109153;0.0765821097718794
Bien;-0.0104159029358254;0.0228659630466384
Bureau;-0.0111102946688547;-0.0321227437939003
Faculté;0.1087388796667926;0.0383164398847637
Filer;0.3896942372959132;0.3635791718586422
Glace;0.0925330679447035;-0.0034691616448433
Global_average;0.120748825514675;0.0766560315158551
Souris;0.31123618060316;0.0317137712687812
Supporter;0.4157775469738457;0.2857702984583052
Tirer;0.0040323097529109;0.0426178193254561
Tour;-0.0256934218892489;0.0
Vol;-0.0147228818928866;0.0173626784986843
