;F1;F1
Model;Camembert;Flaubert
Average_nouns;0.6218377167632274;0.4771213159532079
Average_verbs;0.6959305675989715;0.4657311758030552
Avocat;0.993939393939394;0.5582247855519441
Bien;0.4186166392022646;0.3920904775496612
Bureau;0.4681009010058077;0.3774123951699898
Faculté;0.7223615666602354;0.721875
Filer;0.947844484410206;0.3395833333333333
Glace;0.3247816922613671;0.3246096270486515
Global_average;0.6420448579002486;0.4740149140940753
Souris;0.8071853581381336;0.3197500649744434
Supporter;0.6595454545454544;0.5893719806763285
Tirer;0.4804017638412542;0.4682382133995037
Tour;0.2574832897413542;0.1407752841737102
Vol;0.982232893157263;0.982232893157263
