;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.5006613756613757;0.6626506024096386;0.015592958696764329;-0.0006809171721353265;0.5582247855519441;Noun;2;1
Bien;0.36618578465869106;0.5204081632653061;0.04718652672395608;0.014073174086804533;0.3920904775496612;Noun;3;0
Bureau;0.33668430335097005;0.5242718446601942;0.030925518897676675;-0.003351663176785294;0.37741239516998987;Noun;3;0
Faculté;0.6486486486486487;0.7875;0.7073480306988158;0.6597342061654523;0.721875;Noun;3;0
Filer;0.3377353876253362;0.4895833333333333;0.034640604954501115;-0.003171719170253371;0.3395833333333333;Verb;3;0
Glace;0.20661016949152544;0.4796747967479675;0.0287396106349053;-0.00100749180229628;0.3246096270486515;Noun;5;-2
Souris;0.345679012345679;0.47058823529411764;0.048019281928028006;-0.0010558095205483362;0.3197500649744434;Noun;3;0
Supporter;0.6265432098765432;0.6851851851851852;0.5527362563108514;0.3919892798195872;0.5893719806763285;Verb;3;0
Tirer;0.34459459459459457;0.49038461538461536;0.14955272492500388;-0.0718309052374315;0.4682382133995037;Verb;2;1
Tour;0.1826086956521739;0.2876712328767123;0.03868185909553146;-0.012123241795043536;0.14077528417371027;Noun;5;-2
Vol;0.9716666666666667;0.9764705882352941;0.8659267350030161;0.9185465833718958;0.982232893157263;Noun;2;1
Average_nouns;0.4448430820594663;0.5886544329361538;0.2228025652098367;0.19676685501966798;0.47712131595320795;;;
Average_verbs;0.436291064032158;0.555051044634378;0.24564319539678547;0.1056622184706341;0.4657311758030552;;;
Global_average;0.44251071350656396;0.5794898724902149;0.2290318279880955;0.17192013596084055;0.4740149140940753;;;
