;Overall;Overall
Model;Camembert;Flaubert
Average_nouns;0.6890050381588722;0.5886544329361538
Average_verbs;0.7343288655788656;0.555051044634378
Avocat;0.988095238095238;0.6626506024096386
Bien;0.5306122448979592;0.5204081632653061
Bureau;0.5048543689320388;0.5242718446601942
Faculté;0.7875;0.7875
Filer;0.9479166666666666;0.4895833333333333
Glace;0.4796747967479675;0.4796747967479675
Global_average;0.7013660820006886;0.5794898724902149
Souris;0.8529411764705882;0.4705882352941176
Supporter;0.7454545454545455;0.6851851851851852
Tirer;0.5096153846153846;0.4903846153846153
Tour;0.3918918918918919;0.2876712328767123
Vol;0.976470588235294;0.976470588235294
