;Rand;Rand
Model;Camembert;Flaubert
Average_nouns;0.4450595360519201;0.1967668550196679
Average_verbs;0.4133723944871073;0.1056622184706341
Avocat;0.9843762708949656;-0.0006809171721353
Bien;0.04584078433965;0.0140731740868045
Bureau;0.1954102226064259;-0.0033516631767852
Faculté;0.6745745298231968;0.6597342061654523
Filer;0.8335698516362822;-0.0031717191702533
Glace;-0.0033554374437402;-0.0010074918022962
Global_average;0.4364175883524257;0.1719201359608405
Souris;0.6869083937342145;-0.0010558095205483
Supporter;0.486454164941815;0.3919892798195872
Tirer;-0.0799068331167752;-0.0718309052374315
Tour;0.058174941088753;-0.0121232417950435
Vol;0.9185465833718958;0.9185465833718958
