;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation;Model
Avocat;0.9821428571428572;0.988095238095238;0.9612207762857032;0.9843762708949656;0.993939393939394;Noun;2.0;1.0;Camembert
Bien;0.3978888106966924;0.5306122448979592;0.0489164124111147;0.04584078433965;0.4186166392022646;Noun;3.0;0.0;Camembert
Bureau;0.4349206349206349;0.5048543689320388;0.3595436559256789;0.1954102226064259;0.4681009010058077;Noun;3.0;0.0;Camembert
Faculté;0.6457528957528957;0.7875;0.7127621259758337;0.6745745298231968;0.7223615666602354;Noun;3.0;0.0;Camembert
Filer;0.9417583761310834;0.9479166666666666;0.8027362395855916;0.8335698516362822;0.947844484410206;Verb;3.0;0.0;Camembert
Glace;0.2043024771838331;0.4796747967479675;0.0257376603045795;-0.0033554374437402;0.3247816922613671;Noun;5.0;-2.0;Camembert
Souris;0.6876543209876543;0.8529411764705882;0.6683821734631158;0.6869083937342145;0.8071853581381336;Noun;3.0;0.0;Camembert
Supporter;0.688888888888889;0.7454545454545455;0.6631276188106127;0.486454164941815;0.6595454545454544;Verb;3.0;0.0;Camembert
Tirer;0.3581081081081081;0.5096153846153846;0.1376479501666031;-0.0799068331167752;0.4804017638412542;Verb;2.0;1.0;Camembert
Tour;0.3476190476190476;0.3918918918918919;0.1996764951876067;0.058174941088753;0.2574832897413542;Noun;5.0;-2.0;Camembert
Vol;0.9716666666666668;0.976470588235294;0.8659267350030161;0.9185465833718958;0.982232893157263;Noun;2.0;1.0;Camembert
Average_nouns;0.5839934638712854;0.6890050381588722;0.480270754319581;0.4450595360519201;0.6218377167632274;;;;Camembert
Average_verbs;0.6629184577093602;0.7343288655788656;0.5345039361876025;0.4133723944871073;0.6959305675989715;;;;Camembert
Global_average;0.6055184621907602;0.7013660820006886;0.4950616221017686;0.4364175883524257;0.6420448579002486;;;;Camembert
Avocat;0.5006613756613757;0.6626506024096386;0.0155929586967643;-0.0006809171721353;0.5582247855519441;Noun;2.0;1.0;Flaubert
Bien;0.366185784658691;0.5204081632653061;0.047186526723956;0.0140731740868045;0.3920904775496612;Noun;3.0;0.0;Flaubert
Bureau;0.33668430335097;0.5242718446601942;0.0309255188976766;-0.0033516631767852;0.3774123951699898;Noun;3.0;0.0;Flaubert
Faculté;0.6486486486486487;0.7875;0.7073480306988158;0.6597342061654523;0.721875;Noun;3.0;0.0;Flaubert
Filer;0.3377353876253362;0.4895833333333333;0.0346406049545011;-0.0031717191702533;0.3395833333333333;Verb;3.0;0.0;Flaubert
Glace;0.2066101694915254;0.4796747967479675;0.0287396106349053;-0.0010074918022962;0.3246096270486515;Noun;5.0;-2.0;Flaubert
Souris;0.345679012345679;0.4705882352941176;0.048019281928028;-0.0010558095205483;0.3197500649744434;Noun;3.0;0.0;Flaubert
Supporter;0.6265432098765432;0.6851851851851852;0.5527362563108514;0.3919892798195872;0.5893719806763285;Verb;3.0;0.0;Flaubert
Tirer;0.3445945945945945;0.4903846153846153;0.1495527249250038;-0.0718309052374315;0.4682382133995037;Verb;2.0;1.0;Flaubert
Tour;0.1826086956521739;0.2876712328767123;0.0386818590955314;-0.0121232417950435;0.1407752841737102;Noun;5.0;-2.0;Flaubert
Vol;0.9716666666666668;0.976470588235294;0.8659267350030161;0.9185465833718958;0.982232893157263;Noun;2.0;1.0;Flaubert
Average_nouns;0.4448430820594663;0.5886544329361538;0.2228025652098367;0.1967668550196679;0.4771213159532079;;;;Flaubert
Average_verbs;0.436291064032158;0.555051044634378;0.2456431953967854;0.1056622184706341;0.4657311758030552;;;;Flaubert
Global_average;0.4425107135065639;0.5794898724902149;0.2290318279880955;0.1719201359608405;0.4740149140940753;;;;Flaubert
