;V_measure;V_measure
Model;Camembert;Flaubert
Average_nouns;0.480270754319581;0.2228025652098367
Average_verbs;0.5345039361876025;0.2456431953967854
Avocat;0.9612207762857032;0.0155929586967643
Bien;0.0489164124111147;0.047186526723956
Bureau;0.3595436559256789;0.0309255188976766
Faculté;0.7127621259758337;0.7073480306988158
Filer;0.8027362395855916;0.0346406049545011
Glace;0.0257376603045795;0.0287396106349053
Global_average;0.4950616221017686;0.2290318279880955
Souris;0.6683821734631158;0.048019281928028
Supporter;0.6631276188106127;0.5527362563108514
Tirer;0.1376479501666031;0.1495527249250038
Tour;0.1996764951876067;0.0386818590955314
Vol;0.8659267350030161;0.8659267350030161
