;Weighted;Weighted
Model;Camembert;Flaubert
Average_nouns;0.5839934638712854;0.4448430820594663
Average_verbs;0.6629184577093602;0.436291064032158
Avocat;0.9821428571428572;0.5006613756613757
Bien;0.3978888106966924;0.366185784658691
Bureau;0.4349206349206349;0.33668430335097
Faculté;0.6457528957528957;0.6486486486486487
Filer;0.9417583761310834;0.3377353876253362
Glace;0.2043024771838331;0.2066101694915254
Global_average;0.6055184621907602;0.4425107135065639
Souris;0.6876543209876543;0.345679012345679
Supporter;0.688888888888889;0.6265432098765432
Tirer;0.3581081081081081;0.3445945945945945
Tour;0.3476190476190476;0.1826086956521739
Vol;0.9716666666666668;0.9716666666666668
