;V_measure;V_measure
Model;Camembert;Flaubert
Average_nouns;0.212954439913072;0.1520307259316625
Average_verbs;0.3804444316213826;0.3032325920163679
Avocat;0.2728658422681051;0.2861970025160746
Bien;0.1289241749846962;0.0414046014546975
Bureau;0.2585039275764987;0.1630196741030239
Faculté;0.3446130483847773;0.2509389470613473
Filer;0.437478778669098;0.5166843874462064
Glace;0.1033430934093369;0.0872432121826722
Global_average;0.2586335285607931;0.1932675985002186
Souris;0.2977991402303793;0.0434783847482974
Supporter;0.2877788613245726;0.0603603877879756
Tirer;0.416075654870477;0.3326530008149219
Tour;0.1367913106829803;0.0558625036414154
Vol;0.1607949817678023;0.2881014817457719
