;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.3482142857142857;0.35714285714285715;0.04580698451442093;0.032363835084097396;0.470679012345679;Noun;2;6
Bien;0.1989678630072719;0.20408163265306123;0.05811384587191109;0.005642989695310271;0.2765283920187154;Noun;3;6
Bureau;0.35432098765432096;0.3883495145631068;0.0053817263692624885;-0.010315933635118606;0.3997337767166233;Noun;3;0
Faculté;0.37042042042042045;0.4125;0.03065209193932889;0.02736700332084731;0.40697381869643845;Noun;3;0
Filer;0.5330520909757887;0.53125;0.1979451908733143;0.13038963144203905;0.5596306703612639;Verb;3;0
Glace;0.2038374619730552;0.24390243902439024;0.05762181292061875;-0.015369384776360125;0.2852237155024612;Noun;5;2
Souris;0.26642771804062126;0.3382352941176471;0.21859981730449293;0.04723174465459567;0.38717601983322064;Noun;3;2
Supporter;0.3611111111111111;0.4;0.02639595360368424;-0.005955737242740344;0.40356709121599393;Verb;3;0
Tirer;0.4635135135135135;0.49038461538461536;0.028952165719810827;0.028628629103078285;0.5629652605459057;Verb;2;3
Tour;0.17678571428571427;0.24324324324324326;0.06037572841966372;-0.017544888211924837;0.1967824967824968;Noun;5;-2
Vol;0.21166666666666667;0.2;0.08194195816395837;0.008723926688846615;0.29993808049535603;Noun;2;7
Average_nouns;0.2663301397202945;0.2984318725930382;0.06981174568795714;0.009762411602536712;0.34037941404887384;;;
Average_verbs;0.45255890520013775;0.4738782051282051;0.08443110339893646;0.05102084110079233;0.5087210073743879;;;
Global_average;0.31711980303297904;0.3462808723753565;0.07379884324549696;0.021014710556606423;0.386290757683105;;;
