;Overall;Overall
Model;Camembert;Flaubert
Average_nouns;0.4404258977008253;0.2984318725930382
Average_verbs;0.5810654623154622;0.4738782051282051
Avocat;0.4404761904761904;0.3571428571428571
Bien;0.3061224489795918;0.2040816326530612
Bureau;0.2524271844660194;0.3883495145631068
Faculté;0.4875;0.4125
Filer;0.8229166666666666;0.53125
Glace;0.5284552845528455;0.2439024390243902
Global_average;0.4787821425957263;0.3462808723753565
Souris;0.8529411764705882;0.3382352941176471
Supporter;0.3818181818181818;0.4
Tirer;0.5384615384615384;0.4903846153846153
Tour;0.3378378378378378;0.2432432432432432
Vol;0.3176470588235294;0.2
