;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation;Model
Avocat;0.4642857142857143;0.4404761904761904;0.0588052554491824;0.0423861470097884;0.5331621737270005;Noun;2.0;2.0;Camembert
Bien;0.3158339197748065;0.3061224489795918;0.0514177507991394;0.0041158459333987;0.3716947648624668;Noun;3.0;4.0;Camembert
Bureau;0.2368606701940035;0.2524271844660194;0.0642369778203691;0.0108366614173228;0.3270001346501186;Noun;3.0;5.0;Camembert
Faculté;0.4785928785928786;0.4875;0.1187841639115259;0.0715218798267243;0.5023813273018781;Noun;3.0;0.0;Camembert
Filer;0.8698581560283687;0.8229166666666666;0.7977052520845668;0.7090653725091858;0.8842299578059072;Verb;3.0;1.0;Camembert
Glace;0.3923207301173403;0.5284552845528455;0.2727604561110265;0.1618401773991372;0.5013888285050409;Noun;5.0;-2.0;Camembert
Souris;0.7553962564715252;0.8529411764705882;0.6682532564425254;0.7038973218515822;0.8476868057334206;Noun;3.0;0.0;Camembert
Supporter;0.3698412698412698;0.3818181818181818;0.0470292853935534;-0.0051270141841437;0.3856599728257482;Verb;3.0;0.0;Camembert
Tirer;0.645945945945946;0.5384615384615384;0.3493887217360876;0.1737975090561064;0.6170182972367438;Verb;2.0;4.0;Camembert
Tour;0.3255952380952381;0.3378378378378378;0.1223141657854759;0.0179793359778482;0.343338682812367;Noun;5.0;1.0;Camembert
Vol;0.3066666666666666;0.3176470588235294;0.0025941966326286;-0.0169419998065781;0.3977591036414566;Noun;2.0;2.0;Camembert
Average_nouns;0.4094440092747716;0.4404258977008253;0.1698957778689842;0.1244544212011529;0.4780514776542186;;;;Camembert
Average_verbs;0.6285484572718615;0.5810654623154622;0.3980410864047359;0.2925786224603828;0.6289694092894664;;;;Camembert
Global_average;0.4691997678194325;0.4787821425957263;0.2321172256514619;0.1703064760900338;0.5192109135547407;;;;Camembert
Avocat;0.3482142857142857;0.3571428571428571;0.0458069845144209;0.0323638350840973;0.470679012345679;Noun;2.0;6.0;Flaubert
Bien;0.1989678630072719;0.2040816326530612;0.058113845871911;0.0056429896953102;0.2765283920187154;Noun;3.0;6.0;Flaubert
Bureau;0.3543209876543209;0.3883495145631068;0.0053817263692624;-0.0103159336351186;0.3997337767166233;Noun;3.0;0.0;Flaubert
Faculté;0.3704204204204204;0.4125;0.0306520919393288;0.0273670033208473;0.4069738186964384;Noun;3.0;0.0;Flaubert
Filer;0.5330520909757887;0.53125;0.1979451908733143;0.130389631442039;0.5596306703612639;Verb;3.0;0.0;Flaubert
Glace;0.2038374619730552;0.2439024390243902;0.0576218129206187;-0.0153693847763601;0.2852237155024612;Noun;5.0;2.0;Flaubert
Souris;0.2664277180406212;0.3382352941176471;0.2185998173044929;0.0472317446545956;0.3871760198332206;Noun;3.0;2.0;Flaubert
Supporter;0.3611111111111111;0.4;0.0263959536036842;-0.0059557372427403;0.4035670912159939;Verb;3.0;0.0;Flaubert
Tirer;0.4635135135135135;0.4903846153846153;0.0289521657198108;0.0286286291030782;0.5629652605459057;Verb;2.0;3.0;Flaubert
Tour;0.1767857142857142;0.2432432432432432;0.0603757284196637;-0.0175448882119248;0.1967824967824968;Noun;5.0;-2.0;Flaubert
Vol;0.2116666666666666;0.2;0.0819419581639583;0.0087239266888466;0.299938080495356;Noun;2.0;7.0;Flaubert
Average_nouns;0.2663301397202945;0.2984318725930382;0.0698117456879571;0.0097624116025367;0.3403794140488738;;;;Flaubert
Average_verbs;0.4525589052001377;0.4738782051282051;0.0844311033989364;0.0510208411007923;0.5087210073743879;;;;Flaubert
Global_average;0.317119803032979;0.3462808723753565;0.0737988432454969;0.0210147105566064;0.386290757683105;;;;Flaubert
