;V_measure;V_measure
Model;Camembert;Flaubert
Average_nouns;0.1698957778689842;0.0698117456879571
Average_verbs;0.3980410864047359;0.0844311033989364
Avocat;0.0588052554491824;0.0458069845144209
Bien;0.0514177507991394;0.058113845871911
Bureau;0.0642369778203691;0.0053817263692624
Faculté;0.1187841639115259;0.0306520919393288
Filer;0.7977052520845668;0.1979451908733143
Glace;0.2727604561110265;0.0576218129206187
Global_average;0.2321172256514619;0.0737988432454969
Souris;0.6682532564425254;0.2185998173044929
Supporter;0.0470292853935534;0.0263959536036842
Tirer;0.3493887217360876;0.0289521657198108
Tour;0.1223141657854759;0.0603757284196637
Vol;0.0025941966326286;0.0819419581639583
