;Weighted;Weighted
Model;Camembert;Flaubert
Average_nouns;0.4094440092747716;0.2663301397202945
Average_verbs;0.6285484572718615;0.4525589052001377
Avocat;0.4642857142857143;0.3482142857142857
Bien;0.3158339197748065;0.1989678630072719
Bureau;0.2368606701940035;0.3543209876543209
Faculté;0.4785928785928786;0.3704204204204204
Filer;0.8698581560283687;0.5330520909757887
Glace;0.3923207301173403;0.2038374619730552
Global_average;0.4691997678194325;0.317119803032979
Souris;0.7553962564715252;0.2664277180406212
Supporter;0.3698412698412698;0.3611111111111111
Tirer;0.645945945945946;0.4635135135135135
Tour;0.3255952380952381;0.1767857142857142
Vol;0.3066666666666666;0.2116666666666666
