;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.5178571428571429;0.6785714285714286;0.06986774637673365;0.04768892707517545;0.5640513076794935;Noun;2;1
Bien;0.6394557823129251;0.7551020408163265;0.6995502050551441;0.6524244952979491;0.6959799271176286;Noun;3;0
Bureau;0.48500881834215165;0.6310679611650486;0.2786332902031756;0.24005935246990046;0.6253387219151143;Noun;3;0
Faculté;0.6547619047619048;0.8;0.727946275485782;0.7085239981827252;0.7302463768115942;Noun;3;0
Filer;0.6429078014184397;0.6770833333333334;0.5798644234117336;0.4046789648522299;0.5691838649155723;Verb;3;0
Glace;0.18983050847457628;0.45528455284552843;0.02451000034016718;-0.023348678017959684;0.3001317164009629;Noun;5;-2
Souris;0.7000000000000001;0.8676470588235294;0.7931949135159362;0.746712408414196;0.8218912404910748;Noun;3;0
Supporter;0.6388888888888888;0.7090909090909091;0.6486930283618033;0.4603464891978236;0.6102321438512497;Verb;3;0
Tirer;0.4864864864864865;0.6923076923076923;0.018673257596631746;-0.022145867313567533;0.5821678321678322;Verb;2;1
Tour;0.23452380952380952;0.35135135135135137;0.09736946535733389;0.006291782107490594;0.22548455840070358;Noun;5;-2
Vol;0.4583333333333333;0.6470588235294118;0.049468752322898504;-0.05720393606050189;0.5546218487394958;Noun;2;1
Average_nouns;0.48497141245073044;0.6482604021378281;0.34256758108214636;0.2901435436836219;0.5647182121945085;;;
Average_verbs;0.5894277255979383;0.6928273115773115;0.4157435697900562;0.28095986224549535;0.5871946136448848;;;
Global_average;0.5134594978545144;0.6604150138031418;0.36252466891157636;0.2876389032914055;0.5708481398627929;;;
