;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.6607142857142857;0.6071428571428571;0.673013991940131;0.5048716343697399;0.7450980392156863;Noun;2;2
Bien;0.6049730236922355;0.7244897959183674;0.6464984284340453;0.6369332318496678;0.6811938661242773;Noun;3;0
Bureau;0.8026455026455026;0.7766990291262136;0.412859145685326;0.4058002715555123;0.7774682808086635;Noun;3;0
Faculté;0.7785714285714286;0.8;0.6590790808687689;0.6876074488938916;0.8021666666666667;Noun;3;0
Filer;0.9833333333333334;0.9895833333333334;0.9554928955680965;0.9689839076195335;0.9895046108861898;Verb;3;0
Glace;0.7134492249746487;0.8373983739837398;0.7023313562856619;0.7435127877492544;0.8103258981307763;Noun;5;-1
Souris;0.5185185185185185;0.6764705882352942;0.6885598700400486;0.5557075157402181;0.6761788048552755;Noun;3;0
Supporter;0.815873015873016;0.7818181818181819;0.5723182860422809;0.4550974752317034;0.7862607980255039;Verb;3;0
Tirer;0.7806306306306307;0.7019230769230769;0.5226428807946941;0.4281772819419988;0.7917474682180564;Verb;2;1
Tour;0.48571428571428577;0.5945945945945946;0.4381248117702465;0.2984841612253294;0.48230063200686;Noun;5;-2
Vol;0.75;0.6470588235294118;0.5795697623512835;0.4395354438170676;0.7480577136514983;Noun;2;1
Average_nouns;0.6643232837288631;0.7079817578163099;0.6000045559219389;0.5340565619000852;0.715348737682463;;;
Average_verbs;0.8599456599456601;0.8244415306915306;0.6834846874683572;0.6174195549310785;0.8558376257099166;;;
Global_average;0.7176748408788987;0.7397435140550065;0.6227718645255077;0.5567919236358106;0.7536638889626776;;;
