;F1;F1
Model;Camembert;Flaubert
Average_nouns;0.715348737682463;0.5380701694516976
Average_verbs;0.8558376257099166;0.502082213116144
Avocat;0.7450980392156863;0.745920745920746
Bien;0.6811938661242773;0.5167451002539563
Bureau;0.7774682808086635;0.4515913042539176
Faculté;0.8021666666666667;0.7135975609756098
Filer;0.9895046108861898;0.4934101134585289
Glace;0.8103258981307763;0.3689050786611762
Global_average;0.7536638889626776;0.5282552722692739
Souris;0.6761788048552755;0.5015082956259427
Supporter;0.7862607980255039;0.2976933514246946
Tirer;0.7917474682180564;0.7151431744652084
Tour;0.48230063200686;0.3046671649347832
Vol;0.7480577136514983;0.7016261049874495
