;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.6607142857142857;0.7023809523809523;0.3227314723273998;0.36859090257830784;0.745920745920746;Noun;2;1
Bien;0.4515951208069435;0.5204081632653061;0.12433360038891476;0.1387622122785199;0.5167451002539563;Noun;3;0
Bureau;0.38818342151675483;0.4563106796116505;0.07049606752920336;0.03436760086606354;0.4515913042539176;Noun;3;0
Faculté;0.640990990990991;0.75;0.4295448090592027;0.4740147136207822;0.7135975609756098;Noun;3;0
Filer;0.48495964783565665;0.53125;0.2671021338134137;0.07161437883109653;0.4934101134585289;Verb;3;0
Glace;0.24205997392438072;0.42276422764227645;0.14873959083839622;0.0689698393743055;0.3689050786611762;Noun;5;-2
Souris;0.3847072879330944;0.5;0.3068378322915465;0.062396100043297216;0.5015082956259427;Noun;3;0
Supporter;0.2571428571428571;0.34545454545454546;0.14608297072779236;-0.007183195104085442;0.29769335142469466;Verb;3;0
Tirer;0.6247747747747747;0.6634615384615384;0.1157909106926246;0.20782435101430055;0.7151431744652084;Verb;2;1
Tour;0.31547619047619047;0.3918918918918919;0.12626076535400585;0.048985691685973276;0.3046671649347832;Noun;5;-2
Vol;0.6266666666666667;0.5882352941176471;0.3768161910000364;0.3091281645711821;0.7016261049874495;Noun;2;1
Average_nouns;0.4637992422536634;0.5414989011137156;0.23822004109858821;0.18815190312730393;0.5380701694516976;;;
Average_verbs;0.45562575991776283;0.5133886946386946;0.17632533841127687;0.09075184491377054;0.502082213116144;;;
Global_average;0.46157011070750875;0.5338324811659826;0.2213396676384124;0.16158825088724937;0.5282552722692739;;;
