;Overall;Overall
Model;Camembert;Flaubert
Average_nouns;0.7079817578163099;0.5414989011137156
Average_verbs;0.8244415306915306;0.5133886946386946
Avocat;0.6071428571428571;0.7023809523809523
Bien;0.7244897959183674;0.5204081632653061
Bureau;0.7766990291262136;0.4563106796116505
Faculté;0.8;0.75
Filer;0.9895833333333334;0.53125
Glace;0.8373983739837398;0.4227642276422764
Global_average;0.7397435140550065;0.5338324811659826
Souris;0.6764705882352942;0.5
Supporter;0.7818181818181819;0.3454545454545454
Tirer;0.7019230769230769;0.6634615384615384
Tour;0.5945945945945946;0.3918918918918919
Vol;0.6470588235294118;0.5882352941176471
