;Rand;Rand
Model;Camembert;Flaubert
Average_nouns;0.5340565619000852;0.1881519031273039
Average_verbs;0.6174195549310785;0.0907518449137705
Avocat;0.5048716343697399;0.3685909025783078
Bien;0.6369332318496678;0.1387622122785199
Bureau;0.4058002715555123;0.0343676008660635
Faculté;0.6876074488938916;0.4740147136207822
Filer;0.9689839076195336;0.0716143788310965
Glace;0.7435127877492544;0.0689698393743055
Global_average;0.5567919236358106;0.1615882508872493
Souris;0.5557075157402181;0.0623961000432972
Supporter;0.4550974752317034;-0.0071831951040854
Tirer;0.4281772819419988;0.2078243510143005
Tour;0.2984841612253294;0.0489856916859732
Vol;0.4395354438170676;0.3091281645711821
