;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation;Model
Avocat;0.6607142857142857;0.6071428571428571;0.673013991940131;0.5048716343697399;0.7450980392156863;Noun;2.0;2.0;Camembert
Bien;0.6049730236922355;0.7244897959183674;0.6464984284340453;0.6369332318496678;0.6811938661242773;Noun;3.0;0.0;Camembert
Bureau;0.8026455026455026;0.7766990291262136;0.412859145685326;0.4058002715555123;0.7774682808086635;Noun;3.0;0.0;Camembert
Faculté;0.7785714285714286;0.8;0.6590790808687689;0.6876074488938916;0.8021666666666667;Noun;3.0;0.0;Camembert
Filer;0.9833333333333334;0.9895833333333334;0.9554928955680964;0.9689839076195336;0.9895046108861898;Verb;3.0;0.0;Camembert
Glace;0.7134492249746487;0.8373983739837398;0.7023313562856619;0.7435127877492544;0.8103258981307763;Noun;5.0;-1.0;Camembert
Souris;0.5185185185185185;0.6764705882352942;0.6885598700400486;0.5557075157402181;0.6761788048552755;Noun;3.0;0.0;Camembert
Supporter;0.815873015873016;0.7818181818181819;0.5723182860422809;0.4550974752317034;0.7862607980255039;Verb;3.0;0.0;Camembert
Tirer;0.7806306306306307;0.7019230769230769;0.5226428807946941;0.4281772819419988;0.7917474682180564;Verb;2.0;1.0;Camembert
Tour;0.4857142857142857;0.5945945945945946;0.4381248117702465;0.2984841612253294;0.48230063200686;Noun;5.0;-2.0;Camembert
Vol;0.75;0.6470588235294118;0.5795697623512835;0.4395354438170676;0.7480577136514983;Noun;2.0;1.0;Camembert
Average_nouns;0.6643232837288631;0.7079817578163099;0.6000045559219389;0.5340565619000852;0.715348737682463;;;;Camembert
Average_verbs;0.8599456599456601;0.8244415306915306;0.6834846874683572;0.6174195549310785;0.8558376257099166;;;;Camembert
Global_average;0.7176748408788987;0.7397435140550065;0.6227718645255077;0.5567919236358106;0.7536638889626776;;;;Camembert
Avocat;0.6607142857142857;0.7023809523809523;0.3227314723273998;0.3685909025783078;0.745920745920746;Noun;2.0;1.0;Flaubert
Bien;0.4515951208069435;0.5204081632653061;0.1243336003889147;0.1387622122785199;0.5167451002539563;Noun;3.0;0.0;Flaubert
Bureau;0.3881834215167548;0.4563106796116505;0.0704960675292033;0.0343676008660635;0.4515913042539176;Noun;3.0;0.0;Flaubert
Faculté;0.640990990990991;0.75;0.4295448090592027;0.4740147136207822;0.7135975609756098;Noun;3.0;0.0;Flaubert
Filer;0.4849596478356566;0.53125;0.2671021338134137;0.0716143788310965;0.4934101134585289;Verb;3.0;0.0;Flaubert
Glace;0.2420599739243807;0.4227642276422764;0.1487395908383962;0.0689698393743055;0.3689050786611762;Noun;5.0;-2.0;Flaubert
Souris;0.3847072879330944;0.5;0.3068378322915465;0.0623961000432972;0.5015082956259427;Noun;3.0;0.0;Flaubert
Supporter;0.2571428571428571;0.3454545454545454;0.1460829707277923;-0.0071831951040854;0.2976933514246946;Verb;3.0;0.0;Flaubert
Tirer;0.6247747747747747;0.6634615384615384;0.1157909106926246;0.2078243510143005;0.7151431744652084;Verb;2.0;1.0;Flaubert
Tour;0.3154761904761904;0.3918918918918919;0.1262607653540058;0.0489856916859732;0.3046671649347832;Noun;5.0;-2.0;Flaubert
Vol;0.6266666666666667;0.5882352941176471;0.3768161910000364;0.3091281645711821;0.7016261049874495;Noun;2.0;1.0;Flaubert
Average_nouns;0.4637992422536634;0.5414989011137156;0.2382200410985882;0.1881519031273039;0.5380701694516976;;;;Flaubert
Average_verbs;0.4556257599177628;0.5133886946386946;0.1763253384112768;0.0907518449137705;0.502082213116144;;;;Flaubert
Global_average;0.4615701107075087;0.5338324811659826;0.2213396676384124;0.1615882508872493;0.5282552722692739;;;;Flaubert
