;Weighted;Weighted
Model;Camembert;Flaubert
Average_nouns;0.6643232837288631;0.4637992422536634
Average_verbs;0.8599456599456601;0.4556257599177628
Avocat;0.6607142857142857;0.6607142857142857
Bien;0.6049730236922355;0.4515951208069435
Bureau;0.8026455026455026;0.3881834215167548
Faculté;0.7785714285714286;0.640990990990991
Filer;0.9833333333333334;0.4849596478356566
Glace;0.7134492249746487;0.2420599739243807
Global_average;0.7176748408788987;0.4615701107075087
Souris;0.5185185185185185;0.3847072879330944
Supporter;0.815873015873016;0.2571428571428571
Tirer;0.7806306306306307;0.6247747747747747
Tour;0.4857142857142857;0.3154761904761904
Vol;0.75;0.6266666666666667
